Age,Quickness,Injury,Vision,Endurance,Decision_Making,Strength_Agility,Prime_Sport
15.1,2,1,2,3,4,87,Football
15.4,2,0,3,5,8,54,Baseball
13.6,5,0,2,5,28,135,Hockey
18.8,1,1,1,3,36,240,Hockey
16.1,1,0,3,3,29,114,Football
14.2,1,0,3,5,103,140,Basketball
15.4,1,1,2,3,103,138,Football
14.4,2,0,3,5,14,16,Football
13.7,1,1,3,5,32,60,Football
15.9,2,0,2,5,61,136,Basketball
17.3,3,0,3,5,41,57,Baseball
15.2,1,0,2,5,4,160,Hockey
17,2,1,1,6,43,124,Football
18.5,1,1,3,5,45,72,Basketball
17.9,2,0,0,5,32,96,Basketball
18.9,2,0,0,5,35,235,Football
14.5,0,1,0,3,4,81,Baseball
15.4,1,0,2,1,35,112,Basketball
14.8,2,0,0,3,48,184,Football
18.4,1,0,2,5,29,145,Hockey
15.9,1,1,2,3,16,38,Hockey
18.6,5,1,3,5,8,88,Basketball
13,1,1,0,3,55,156,Hockey
17.7,1,1,0,5,50,140,Basketball
14.3,6,1,1,5,54,63,Football
16.4,5,0,0,3,103,125,Football
15,6,1,2,5,54,60,Hockey
15.1,6,1,3,5,65,63,Baseball
14.7,6,0,3,5,45,66,Basketball
13.2,2,0,2,5,15,84,Basketball
14.9,3,0,0,5,25,165,Hockey
13.9,1,0,1,3,29,148,Hockey
18.5,2,1,1,5,37,126,Basketball
13.7,1,1,0,5,11,165,Basketball
17.1,1,0,2,5,35,78,Hockey
14.3,1,1,3,3,16,144,Hockey
14,2,0,3,5,39,110,Baseball
13.1,1,0,3,5,4,60,Basketball
14.1,2,0,2,1,34,192,Basketball
15.3,1,1,1,1,8,185,Basketball
17,3,1,1,3,35,75,Hockey
15.9,2,0,0,1,29,175,Hockey
15,6,0,2,3,24,123,Basketball
18.2,1,1,2,3,4,230,Football
18.6,3,1,3,5,35,18,Baseball
16.5,2,1,3,5,47,63,Basketball
13.3,2,1,0,3,19,108,Football
18.2,2,0,0,5,40,108,Basketball
15.5,2,1,3,5,29,92,Basketball
15.2,2,1,0,5,35,96,Basketball
13.8,2,1,1,3,98,185,Basketball
17.6,1,1,2,5,43,58,Football
18.5,2,1,0,3,4,128,Hockey
16.6,2,0,2,3,39,140,Basketball
19,4,1,2,3,43,144,Baseball
14.1,1,1,0,3,55,185,Hockey
17.1,1,1,0,3,30,160,Football
15.2,6,0,0,1,7,210,Baseball
16.2,0,1,2,3,12,124,Football
16.9,2,1,0,5,32,108,Football
17.6,2,0,2,5,55,145,Basketball
15.7,1,1,2,3,40,126,Hockey
15.2,5,0,0,3,4,92,Hockey
15.8,1,0,3,5,42,88,Baseball
18.7,2,0,1,5,4,140,Football
16.6,1,1,2,4,50,160,Hockey
15.8,2,1,3,3,7,240,Football
13.5,1,0,2,5,4,222,Football
17.8,2,0,0,1,4,162,Football
18.8,1,1,2,1,3,318,Basketball
15.6,1,0,1,5,43,155,Football
13.1,6,1,0,3,16,180,Football
14.8,1,1,0,3,4,108,Hockey
13.1,2,1,0,5,54,22,Basketball
14.4,1,1,0,3,48,29,Football
15.2,1,1,1,3,22,329,Football
15.5,3,1,2,5,4,168,Football
17.5,1,1,2,3,40,258,Football
13.8,2,1,0,5,15,66,Football
15.4,1,1,2,3,89,120,Football
18.1,5,1,3,5,29,54,Baseball
16.5,2,0,1,5,29,84,Basketball
14.8,1,1,1,3,29,165,Football
14.6,6,0,1,5,40,92,Basketball
17.7,1,0,0,1,7,96,Hockey
15.9,2,0,2,3,45,155,Football
18.2,1,0,3,3,4,84,Football
13.4,1,0,3,5,43,18,Baseball
14,2,0,3,5,33,57,Football
17.9,1,0,3,5,13,88,Baseball
17.8,3,1,3,5,38,69,Baseball
18.7,1,0,3,5,19,54,Baseball
16.6,4,1,0,3,30,140,Baseball
17.1,1,1,1,5,11,26,Baseball
14.3,1,1,3,5,103,246,Hockey
18.4,1,1,1,5,29,116,Hockey
15.1,2,1,3,5,50,21,Football
13.6,1,1,3,5,30,17,Football
18.7,2,0,0,5,4,104,Hockey
15.7,6,0,3,5,4,57,Baseball
17.3,1,1,0,5,14,104,Hockey
17.5,2,1,3,5,4,63,Baseball
17.3,0,1,2,3,11,188,Basketball
17.8,1,1,2,5,5,176,Football
16.2,2,1,3,5,13,175,Hockey
17.2,4,0,0,5,99,20,Baseball
16.4,1,1,2,3,40,258,Football
16.6,2,1,0,3,35,141,Football
13.9,1,0,1,0,45,273,Hockey
18.2,2,1,2,5,25,78,Basketball
13.3,1,1,3,3,30,348,Football
17.5,6,0,2,1,35,160,Hockey
17.8,2,0,3,5,19,18,Baseball
15,1,1,0,5,6,196,Hockey
17,2,1,1,3,5,168,Baseball
13.6,1,0,2,5,18,140,Hockey
18.9,1,1,0,3,42,220,Hockey
13.6,1,0,2,3,11,116,Hockey
15.4,1,0,2,3,14,87,Basketball
14.9,1,0,3,5,35,18,Baseball
15.2,1,0,3,5,11,57,Baseball
18.8,5,1,3,5,8,17,Baseball
17.9,1,1,0,3,4,164,Baseball
15.8,1,1,0,3,8,125,Basketball
15.2,2,0,3,5,7,13,Basketball
15.1,1,1,2,3,40,220,Football
17.2,1,1,1,3,29,250,Basketball
16.6,1,1,1,3,91,205,Hockey
14.7,1,1,3,5,55,66,Baseball
14.5,3,0,0,1,19,210,Football
17.9,1,1,0,5,4,96,Football
13.5,1,1,2,3,32,147,Hockey
13.2,1,1,1,3,4,280,Football
14.2,3,1,3,5,54,88,Basketball
13.3,0,0,2,3,12,280,Baseball
16.3,2,1,1,3,29,128,Football
14.2,5,1,3,5,45,69,Hockey
17.7,2,1,1,3,21,185,Baseball
17.6,5,0,3,3,10,176,Football
14.5,1,0,3,5,7,60,Baseball
18.5,2,0,1,1,11,300,Baseball
15.5,1,1,3,5,23,72,Basketball
15.5,1,1,1,1,28,62,Baseball
18.2,1,0,2,5,19,92,Basketball
17,1,0,2,1,50,120,Basketball
16.2,1,1,0,3,48,220,Football
13.5,6,1,2,3,7,212,Hockey
16.2,2,1,2,5,43,100,Hockey
13.7,2,1,0,1,29,140,Hockey
13.2,2,1,3,5,50,96,Baseball
15.3,2,1,2,5,40,66,Basketball
18.4,2,1,3,5,59,60,Baseball
18.4,6,1,2,1,4,129,Hockey
16.2,3,1,1,3,40,96,Football
14.3,1,1,3,1,25,156,Basketball
18.8,1,0,3,5,12,125,Baseball
13,2,0,2,1,11,108,Basketball
18.7,2,1,2,5,23,180,Hockey
18.8,1,1,0,3,20,168,Hockey
18.2,1,0,3,5,4,60,Baseball
15,6,1,3,5,40,17,Football
13.4,2,1,0,5,48,88,Basketball
13.7,6,0,2,5,47,140,Basketball
13.2,1,1,2,3,15,31,Hockey
18.3,3,1,0,5,4,210,Football
16.5,1,0,0,3,4,62,Football
15.9,2,0,2,3,29,112,Football
16.5,6,1,1,3,5,150,Football
17.8,1,1,2,3,69,105,Football
13.2,1,0,2,1,35,294,Football
18.6,2,1,1,5,39,96,Basketball
17.6,1,1,3,3,8,130,Hockey
14.7,1,1,2,3,35,88,Football
13.9,2,1,3,5,35,18,Hockey
15.4,1,1,3,3,29,160,Hockey
16.8,1,0,2,3,27,148,Baseball
13.3,6,1,2,3,4,124,Basketball
18.4,6,1,0,5,98,44,Baseball
13.9,6,1,2,3,25,171,Football
13,1,1,2,3,28,171,Football
16.2,1,1,2,3,101,180,Football
15.1,1,1,0,5,23,125,Hockey
15.8,1,1,3,5,44,69,Baseball
18.1,2,1,2,5,7,54,Basketball
13,2,1,3,3,16,220,Football
13.1,4,1,3,5,50,19,Football
16.2,1,0,2,3,34,184,Basketball
14.8,1,1,2,5,32,90,Basketball
14.3,2,0,1,5,4,92,Basketball
18.9,2,1,2,5,11,64,Football
16.3,2,1,3,5,4,230,Hockey
18.7,2,1,2,3,47,204,Baseball
14.5,2,1,2,5,40,112,Baseball
16.9,1,1,2,5,40,175,Football
18.1,3,0,2,3,23,108,Football
16.4,1,1,0,3,55,160,Baseball
18.6,2,1,3,3,33,210,Football
17.8,2,1,0,3,19,135,Baseball
18,1,0,2,3,3,114,Football
13.9,1,0,2,3,44,102,Football
16,2,1,2,1,32,128,Hockey
15.2,1,1,2,3,4,318,Hockey
15.6,2,0,2,3,29,190,Basketball
17.1,1,1,3,5,40,72,Basketball
16,2,1,0,5,17,154,Basketball
14.7,5,1,3,5,7,54,Football
15,1,0,0,5,4,120,Football
14.9,1,0,3,3,45,24,Basketball
13.3,1,0,0,3,43,78,Football
15.4,5,1,0,5,29,66,Hockey
14.4,6,0,2,5,29,63,Football
16.4,2,1,1,3,9,250,Football
16.4,1,1,2,5,8,150,Hockey
18.4,2,1,0,5,19,100,Hockey
17.4,1,1,2,5,35,117,Hockey
13.8,2,1,3,5,58,81,Baseball
14.7,2,0,2,5,45,114,Football
14.4,3,1,1,5,8,75,Basketball
14.1,5,1,0,5,8,96,Hockey
18.7,1,1,1,1,4,144,Hockey
18.5,1,0,0,3,28,128,Baseball
